time,cost (€/MWh)
2023-07-12 11:30:00+02:00,0.000270706
2023-07-12 11:45:00+02:00,0.000270706
2023-07-12 12:00:00+02:00,0.000203189
2023-07-12 12:15:00+02:00,0.000203189
2023-07-12 12:30:00+02:00,0.000203189
2023-07-12 12:45:00+02:00,0.000203189
2023-07-12 13:00:00+02:00,0.000199494
2023-07-12 13:15:00+02:00,0.000199494
2023-07-12 13:30:00+02:00,0.000199494
2023-07-12 13:45:00+02:00,0.000199494
2023-07-12 14:00:00+02:00,0.000207523
2023-07-12 14:15:00+02:00,0.000207523
2023-07-12 14:30:00+02:00,0.000207523
2023-07-12 14:45:00+02:00,0.000207523
2023-07-12 15:00:00+02:00,0.000217169
2023-07-12 15:15:00+02:00,0.000217169
2023-07-12 15:30:00+02:00,0.000217169
2023-07-12 15:45:00+02:00,0.000217169
2023-07-12 16:00:00+02:00,0.000250915
2023-07-12 16:15:00+02:00,0.000250915
2023-07-12 16:30:00+02:00,0.000250915
2023-07-12 16:45:00+02:00,0.000250915
2023-07-12 17:00:00+02:00,0.000286677
2023-07-12 17:15:00+02:00,0.000286677
2023-07-12 17:30:00+02:00,0.000286677
2023-07-12 17:45:00+02:00,0.000286677
2023-07-12 18:00:00+02:00,0.000307772
2023-07-12 18:15:00+02:00,0.000307772
2023-07-12 18:30:00+02:00,0.000307772
2023-07-12 18:45:00+02:00,0.000307772
2023-07-12 19:00:00+02:00,0.000332849
2023-07-12 19:15:00+02:00,0.000332849
2023-07-12 19:30:00+02:00,0.000332849
2023-07-12 19:45:00+02:00,0.000332849
2023-07-12 20:00:00+02:00,0.00036652
2023-07-12 20:15:00+02:00,0.00036652
2023-07-12 20:30:00+02:00,0.00036652
2023-07-12 20:45:00+02:00,0.00036652
2023-07-12 21:00:00+02:00,0.000373572
2023-07-12 21:15:00+02:00,0.000373572
2023-07-12 21:30:00+02:00,0.000373572
2023-07-12 21:45:00+02:00,0.000373572
2023-07-12 22:00:00+02:00,0.000341655
2023-07-12 22:15:00+02:00,0.000341655
2023-07-12 22:30:00+02:00,0.000341655
2023-07-12 22:45:00+02:00,0.000341655
2023-07-12 23:00:00+02:00,0.000325997
2023-07-12 23:15:00+02:00,0.000325997
2023-07-12 23:30:00+02:00,0.000325997
2023-07-12 23:45:00+02:00,0.000325997
2023-07-13 00:00:00+02:00,0.000314949
2023-07-13 00:15:00+02:00,0.000314949
2023-07-13 00:30:00+02:00,0.000314949
2023-07-13 00:45:00+02:00,0.000314949
2023-07-13 01:00:00+02:00,0.000304853
2023-07-13 01:15:00+02:00,0.000304853
2023-07-13 01:30:00+02:00,0.000304853
2023-07-13 01:45:00+02:00,0.000304853
2023-07-13 02:00:00+02:00,0.00030236
2023-07-13 02:15:00+02:00,0.00030236
2023-07-13 02:30:00+02:00,0.00030236
2023-07-13 02:45:00+02:00,0.00030236
2023-07-13 03:00:00+02:00,0.000298865
2023-07-13 03:15:00+02:00,0.000298865
2023-07-13 03:30:00+02:00,0.000298865
2023-07-13 03:45:00+02:00,0.000298865
2023-07-13 04:00:00+02:00,0.000298677
2023-07-13 04:15:00+02:00,0.000298677
2023-07-13 04:30:00+02:00,0.000298677
2023-07-13 04:45:00+02:00,0.000298677
2023-07-13 05:00:00+02:00,0.000300594
2023-07-13 05:15:00+02:00,0.000300594
2023-07-13 05:30:00+02:00,0.000300594
2023-07-13 05:45:00+02:00,0.000300594
2023-07-13 06:00:00+02:00,0.00031783
2023-07-13 06:15:00+02:00,0.00031783
2023-07-13 06:30:00+02:00,0.00031783
2023-07-13 06:45:00+02:00,0.00031783
2023-07-13 07:00:00+02:00,0.000336494
2023-07-13 07:15:00+02:00,0.000336494
2023-07-13 07:30:00+02:00,0.000336494
2023-07-13 07:45:00+02:00,0.000336494
2023-07-13 08:00:00+02:00,0.000332499
2023-07-13 08:15:00+02:00,0.000332499
2023-07-13 08:30:00+02:00,0.000332499
2023-07-13 08:45:00+02:00,0.000332499
2023-07-13 09:00:00+02:00,0.000314223
2023-07-13 09:15:00+02:00,0.000314223
2023-07-13 09:30:00+02:00,0.000314223
2023-07-13 09:45:00+02:00,0.000314223
2023-07-13 10:00:00+02:00,0.000297513
2023-07-13 10:15:00+02:00,0.000297513
2023-07-13 10:30:00+02:00,0.000297513
2023-07-13 10:45:00+02:00,0.000297513
2023-07-13 11:00:00+02:00,0.000288707
2023-07-13 11:15:00+02:00,0.000288707
2023-07-13 11:30:00+02:00,0.000288707
2023-07-13 11:45:00+02:00,0.000288707
2023-07-13 12:00:00+02:00,0.000280139
2023-07-13 12:15:00+02:00,0.000280139
