Timeseries,kW,W
2023-07-10 12:45:00+02:00,28.28,28280
2023-07-10 13:00:00+02:00,28.31,28310
2023-07-10 13:15:00+02:00,27.6,27600
2023-07-10 13:30:00+02:00,20.82,20820
2023-07-10 13:45:00+02:00,23.71,23710
2023-07-10 14:00:00+02:00,26.81,26810
2023-07-10 14:15:00+02:00,26.27,26270
2023-07-10 14:30:00+02:00,25.64,25640
2023-07-10 14:45:00+02:00,22.92,22920
2023-07-10 15:00:00+02:00,23.81,23810
2023-07-10 15:15:00+02:00,23.11,23110
2023-07-10 15:30:00+02:00,21.54,21540
2023-07-10 15:45:00+02:00,20.97,20970
2023-07-10 16:00:00+02:00,19.78,19780
2023-07-10 16:15:00+02:00,18.53,18530
2023-07-10 16:30:00+02:00,17.22,17220
2023-07-10 16:45:00+02:00,15.83,15830
2023-07-10 17:00:00+02:00,14.43,14430
2023-07-10 17:15:00+02:00,12.97,12970
2023-07-10 17:30:00+02:00,11.52,11520
2023-07-10 17:45:00+02:00,9.849999999,9849.999999
2023-07-10 18:00:00+02:00,8.61,8610
2023-07-10 18:15:00+02:00,7.209999999,7209.999999
2023-07-10 18:30:00+02:00,5.889999999,5889.999999
2023-07-10 18:45:00+02:00,4.820000001,4820.000001
2023-07-10 19:00:00+02:00,4.149999999,4149.999999
2023-07-10 19:15:00+02:00,3.339999999,3339.999999
2023-07-10 19:30:00+02:00,2.54,2540
2023-07-10 19:45:00+02:00,1.98,1980
2023-07-10 20:00:00+02:00,1.48,1480
2023-07-10 20:15:00+02:00,1.09,1090
2023-07-10 20:30:00+02:00,0.72,720
2023-07-10 20:45:00+02:00,0.32,320
2023-07-10 21:00:00+02:00,0.03,30
2023-07-10 21:15:00+02:00,0,0
2023-07-10 21:30:00+02:00,0,0
2023-07-10 21:45:00+02:00,0,0
2023-07-10 22:00:00+02:00,0,0
2023-07-10 22:15:00+02:00,0,0
2023-07-10 22:30:00+02:00,0,0
2023-07-10 22:45:00+02:00,0,0
2023-07-10 23:00:00+02:00,0,0
2023-07-10 23:15:00+02:00,0,0
2023-07-10 23:30:00+02:00,0,0
2023-07-10 23:45:00+02:00,0,0
2023-07-11 00:00:00+02:00,0,0
2023-07-11 00:15:00+02:00,0,0
2023-07-11 00:30:00+02:00,0,0
2023-07-11 00:45:00+02:00,0,0
2023-07-11 01:00:00+02:00,0,0
2023-07-11 01:15:00+02:00,0,0
2023-07-11 01:30:00+02:00,0,0
2023-07-11 01:45:00+02:00,0,0
2023-07-11 02:00:00+02:00,0,0
2023-07-11 02:15:00+02:00,0,0
2023-07-11 02:30:00+02:00,0,0
2023-07-11 02:45:00+02:00,0,0
2023-07-11 03:00:00+02:00,0,0
2023-07-11 03:15:00+02:00,0,0
2023-07-11 03:30:00+02:00,0,0
2023-07-11 03:45:00+02:00,0,0
2023-07-11 04:00:00+02:00,0,0
2023-07-11 04:15:00+02:00,0,0
2023-07-11 04:30:00+02:00,0,0
2023-07-11 04:45:00+02:00,0,0
2023-07-11 05:00:00+02:00,0,0
2023-07-11 05:15:00+02:00,0,0
2023-07-11 05:30:00+02:00,0.14,140
2023-07-11 05:45:00+02:00,0.5,500
2023-07-11 06:00:00+02:00,0.91,910
2023-07-11 06:15:00+02:00,1.31,1310
2023-07-11 06:30:00+02:00,1.95,1950
2023-07-11 06:45:00+02:00,2.04,2040
2023-07-11 07:00:00+02:00,2.04,2040
2023-07-11 07:15:00+02:00,2.92,2920
2023-07-11 07:30:00+02:00,4.02,4020
2023-07-11 07:45:00+02:00,5.259999999,5259.999999
2023-07-11 08:00:00+02:00,6.590000001,6590.000001
2023-07-11 08:15:00+02:00,8.01,8010
2023-07-11 08:30:00+02:00,9.489999999,9489.999999
2023-07-11 08:45:00+02:00,10.98,10980
2023-07-11 09:00:00+02:00,12.51,12510
2023-07-11 09:15:00+02:00,14.03,14030
