time,cost (€/MWh),cost (€/kWh)
2024-01-17 06:45:00+01:00,0.00027737,0.27737
2024-01-17 07:00:00+01:00,0.00028902,0.28902
2024-01-17 07:15:00+01:00,0.00028902,0.28902
2024-01-17 07:30:00+01:00,0.00028902,0.28902
2024-01-17 07:45:00+01:00,0.00028902,0.28902
2024-01-17 08:00:00+01:00,0.000304189,0.304189
2024-01-17 08:15:00+01:00,0.000304189,0.304189
2024-01-17 08:30:00+01:00,0.000304189,0.304189
2024-01-17 08:45:00+01:00,0.000304189,0.304189
2024-01-17 09:00:00+01:00,0.000316289,0.316289
2024-01-17 09:15:00+01:00,0.000316289,0.316289
2024-01-17 09:30:00+01:00,0.000316289,0.316289
2024-01-17 09:45:00+01:00,0.000316289,0.316289
2024-01-17 10:00:00+01:00,0.000321513,0.321513
2024-01-17 10:15:00+01:00,0.000321513,0.321513
2024-01-17 10:30:00+01:00,0.000321513,0.321513
2024-01-17 10:45:00+01:00,0.000321513,0.321513
2024-01-17 11:00:00+01:00,0.000322477,0.322477
2024-01-17 11:15:00+01:00,0.000322477,0.322477
2024-01-17 11:30:00+01:00,0.000322477,0.322477
2024-01-17 11:45:00+01:00,0.000322477,0.322477
2024-01-17 12:00:00+01:00,0.000330757,0.330757
2024-01-17 12:15:00+01:00,0.000330757,0.330757
2024-01-17 12:30:00+01:00,0.000330757,0.330757
2024-01-17 12:45:00+01:00,0.000330757,0.330757
2024-01-17 13:00:00+01:00,0.000335755,0.335755
2024-01-17 13:15:00+01:00,0.000335755,0.335755
2024-01-17 13:30:00+01:00,0.000335755,0.335755
2024-01-17 13:45:00+01:00,0.000335755,0.335755
2024-01-17 14:00:00+01:00,0.000335805,0.335805
2024-01-17 14:15:00+01:00,0.000335805,0.335805
2024-01-17 14:30:00+01:00,0.000335805,0.335805
2024-01-17 14:45:00+01:00,0.000335805,0.335805
2024-01-17 15:00:00+01:00,0.000340465,0.340465
2024-01-17 15:15:00+01:00,0.000340465,0.340465
2024-01-17 15:30:00+01:00,0.000340465,0.340465
